endpoint	methods	permission	file:line	in_registry?
apollo/v1/errorlog	GET	closure	apollo-admin/src/ErrorLogViewer.php:60	YES
apollo/v1/errorlog	DELETE	closure	apollo-admin/src/ErrorLogViewer.php:90	YES
apollo/v1/admin/memberships	GET	closure	apollo-admin/src/Frontend/Controller/MembershipController.php:30	YES
apollo/v1/admin/pending	GET	closure	apollo-admin/src/Frontend/Controller/PendingController.php:31	YES
apollo/v1/admin/pending/(?P<id>\d+)/approve	POST	closure	apollo-admin/src/Frontend/Controller/PendingController.php:43	YES
apollo/v1/admin/pending/(?P<id>\d+)/reject	POST	closure	apollo-admin/src/Frontend/Controller/PendingController.php:65	YES
apollo/v1/admin/registry	GET	admin_permission	apollo-admin/src/Rest/SettingsController.php:110	YES
apollo/v1/admin/registry/refresh	POST	admin_permission	apollo-admin/src/Rest/SettingsController.php:121	YES
apollo/v1/settings/export	GET	admin_permission	apollo-admin/src/Rest/SettingsController.php:133	YES
apollo/v1/settings/import	POST	admin_permission	apollo-admin/src/Rest/SettingsController.php:143	YES
apollo/v1/settings	GET	admin_permission	apollo-admin/src/Rest/SettingsController.php:45	YES
apollo/v1/settings/(?P<slug>[a-z0-9_-]+)	GET	admin_permission	apollo-admin/src/Rest/SettingsController.php:56	YES
apollo/v1/settings/(?P<slug>[a-z0-9_-]+)	POST	admin_permission	apollo-admin/src/Rest/SettingsController.php:56	YES
apollo/v1/settings/(?P<slug>[a-z0-9_-]+)/schema	GET	admin_permission	apollo-admin/src/Rest/SettingsController.php:91	YES
apollo/v1/toolbar	GET	closure	apollo-admin/src/ToolbarCustomizer.php:136	YES
apollo/v1/toolbar	POST	closure	apollo-admin/src/ToolbarCustomizer.php:149	YES
apollo/v1/preferences	GET	closure	apollo-admin/src/UserPreferences.php:158	YES
apollo/v1/preferences	POST	closure	apollo-admin/src/UserPreferences.php:171	YES
apollo/v1/preferences/(?P<key>[a-z0-9_-]+)	DELETE	closure	apollo-admin/src/UserPreferences.php:184	YES
apollo/v1/events/request	POST	logged_in	apollo-adverts/includes/event-selector.php:821	YES
apollo_adverts_chat_button	N/A	N/A	apollo-adverts/includes/integrations.php:360	DEV_REG
apollo_classifieds	N/A	N/A	apollo-adverts/includes/shortcodes.php:27	DEV_REG
