endpoint	methods	permission	file:line	in_registry?
apollo-telegram/v1/broadcast	POST	static function (): bool {	apollo-telegram/src/API/VerificationController.php:161	yes
apollo-telegram/v1/check-phone-available	POST	self::class, 'permission_verify_nonce'	apollo-telegram/src/API/VerificationController.php:117	yes
apollo-telegram/v1/poll-tick	POST	self::class, 'permission_verify_nonce'	apollo-telegram/src/API/VerificationController.php:100	yes
apollo-telegram/v1/request-support-verification	POST	self::class, 'permission_verify_nonce'	apollo-telegram/src/API/VerificationController.php:22	yes
apollo-telegram/v1/telegram	GET	self::class, 'permission_legacy_debug'	apollo-telegram/src/API/VerificationController.php:139	yes
apollo-telegram/v1/verification-status	POST	self::class, 'permission_verify_nonce'	apollo-telegram/src/API/VerificationController.php:73	yes
apollo-telegram/v1/verify-support-code	POST	self::class, 'permission_verify_nonce'	apollo-telegram/src/API/VerificationController.php:41	yes
apollo/v1/{rest_base}/(?P<id>\d+)/fragmento	GET	'__return_true'	apollo-core/includes/surface-contract.php:66	no
apollo/v1/$this->route	$this->method	[$this	apollo-telegram/src/API/BaseEndpoint.php:33	no
apollo/v1/achievements	GET	'__return_true'	apollo-membership/src/API/AchievementsController.php:10	yes
apollo/v1/achievements/(?P<id>\d+)	GET	'__return_true'	apollo-membership/src/API/AchievementsController.php:40	yes
apollo/v1/activity/(?P<id>\d+)	PUT	function ()	apollo-social/src/Plugin.php:128	yes
apollo/v1/activity/(?P<id>\d+)	DELETE	function ()	apollo-social/src/Plugin.php:89	yes
apollo/v1/activity/(?P<id>\d+)/replies	GET,POST	'__return_true'	apollo-social/src/Plugin.php:105	yes
apollo/v1/activity/(?P<id>\d+)/spam	DELETE,POST	function ()	apollo-social/src/Plugin.php:140	yes
apollo/v1/activity/log	POST	$this, 'require_app_token'	apollo-login/src/API/ActivityLogController.php:36	yes
apollo/v1/activity/log	GET	function ()	apollo-login/src/API/ActivityLogController.php:75	yes
apollo/v1/admin/memberships	GET	function ()	apollo-admin/src/Frontend/Controller/MembershipController.php:16	yes
apollo/v1/admin/pending	GET	function ()	apollo-admin/src/Frontend/Controller/PendingController.php:24	yes
apollo/v1/admin/pending/(?P<id>\d+)/approve	POST	function ()	apollo-admin/src/Frontend/Controller/PendingController.php:36	yes
apollo/v1/admin/pending/(?P<id>\d+)/reject	POST	function ()	apollo-admin/src/Frontend/Controller/PendingController.php:57	yes
apollo/v1/admin/registry	GET	$this, 'admin_permission'	apollo-admin/src/Rest/SettingsController.php:88	yes
apollo/v1/admin/registry/refresh	POST	$this, 'admin_permission'	apollo-admin/src/Rest/SettingsController.php:96	yes
apollo/v1/app/auth	POST	static function (WP_REST_Request $request): bool|\WP_Error {	apollo-login/src/API/AppAuthController.php:16	yes
apollo/v1/app/revoke	POST	static function (WP_REST_Request $request): bool|\WP_Error {	apollo-login/src/API/AppAuthController.php:126	yes
apollo/v1/app/verify	GET	static function (WP_REST_Request $request): bool|\WP_Error {	apollo-login/src/API/AppAuthController.php:94	yes
apollo/v1/auth/check-email	GET	'__return_true'	apollo-login/src/API/AuthController.php:231	yes
apollo/v1/auth/check-username	GET	'__return_true'	apollo-login/src/API/AuthController.php:218	yes
apollo/v1/auth/login	POST	'__return_true'	apollo-login/src/API/AuthController.php:42	yes
apollo/v1/auth/logout	POST	'is_user_logged_in'	apollo-login/src/API/AuthController.php:192	yes
apollo/v1/auth/register	POST	'__return_true'	apollo-login/src/API/AuthController.php:70	yes
apollo/v1/auth/resend-verification	POST	'__return_true'	apollo-login/src/API/AuthController.php:289	yes
apollo/v1/auth/reset-confirm	POST	'__return_true'	apollo-login/src/API/AuthController.php:247	yes
apollo/v1/auth/reset-request	POST	'__return_true'	apollo-login/src/API/AuthController.php:199	yes
apollo/v1/auth/token	POST	'__return_true'	apollo-login/src/Security/JWTAuth.php:69	yes
apollo/v1/auth/token/refresh	POST	'__return_true'	apollo-login/src/Security/JWTAuth.php:93	yes
apollo/v1/auth/token/revoke	POST	$this, 'require_auth'	apollo-login/src/Security/JWTAuth.php:110	yes
apollo/v1/auth/verify-email	POST	'__return_true'	apollo-login/src/API/AuthController.php:270	yes
apollo/v1/block/(?P<user_id>\d+)	DELETE,POST	function ()	apollo-social/src/Plugin.php:171	yes
apollo/v1/blocks	GET	function ()	apollo-social/src/Plugin.php:159	yes
apollo/v1/calendar	GET	$this, 'is_logged_in'	apollo-calendar/src/API/CalendarController.php:13	yes
